province_name,province,year,patent,student,science,enterprise,RD_num
BJ,1,2009,50236.00,11.21,40.00,1150.00,25.27
BJ,1,2010,57296.00,11.01,40.00,1103.00,26.99
BJ,1,2011,77955.00,11.12,39.00,737.00,29.70
BJ,1,2012,92305.00,11.38,39.00,760.00,32.24
BJ,1,2013,123336.00,11.41,39.00,782.00,33.42
BJ,1,2014,138111.00,11.51,43.00,805.00,34.32
TJ,2,2009,19624.00,5.34,14.00,868.00,7.26
TJ,2,2010,25973.00,5.57,14.00,817.00,8.64
TJ,2,2011,38489.00,5.71,14.00,497.00,11.16
TJ,2,2012,41009.00,6.22,14.00,587.00,12.64
TJ,2,2013,60915.00,6.72,14.00,585.00,14.37
TJ,2,2014,63422.00,7.32,14.00,583.00,16.41
HB,3,2009,11361.00,9.95,37.00,424.00,8.46
HB,3,2010,12295.00,10.80,36.00,438.00,9.18
HB,3,2011,17595.00,12.03,37.00,370.00,11.18
HB,3,2012,23241.00,13.35,37.00,433.00,12.49
HB,3,2013,27619.00,14.62,53.00,504.00,13.66
HB,3,2014,30000.00,15.31,53.00,556.00,15.51
SX,4,2009,6822.00,5.78,18.00,154.00,6.51
SX,4,2010,7927.00,6.05,19.00,157.00,6.70
SX,4,2011,12769.00,6.51,19.00,118.00,6.78
SX,4,2012,16786.00,7.22,19.00,136.00,7.19
SX,4,2013,18859.00,7.64,21.00,138.00,7.39
SX,4,2014,15687.00,8.54,21.00,134.00,7.39
NMG,5,2009,2484.00,3.08,14.00,109.00,3.14
NMG,5,2010,2912.00,3.62,14.00,107.00,3.29
NMG,5,2011,3841.00,4.13,14.00,98.00,3.62
NMG,5,2012,4732.00,4.57,14.00,97.00,4.20
NMG,5,2013,6388.00,5.03,14.00,100.00,4.84
NMG,5,2014,6359.00,5.35,15.00,95.00,5.02
LN,6,2009,25803.00,12.58,44.00,999.00,11.94
LN,6,2010,34216.00,13.25,43.00,987.00,12.64
LN,6,2011,37102.00,14.00,43.00,701.00,12.96
LN,6,2012,41152.00,14.75,43.00,738.00,14.18
LN,6,2013,45996.00,14.67,43.00,735.00,15.44
LN,6,2014,37860.00,15.23,44.00,687.00,16.26
JL,7,2009,5934.00,8.82,30.00,447.00,5.64
JL,7,2010,6445.00,8.61,31.00,436.00,6.54
JL,7,2011,8196.00,9.18,32.00,368.00,7.07
JL,7,2012,9171.00,9.81,37.00,394.00,7.63
JL,7,2013,10751.00,10.34,38.00,394.00,7.46
JL,7,2014,11933.00,10.49,37.00,393.00,7.73
