"Data Source","World Development Indicators",

"Last Updated Date","2018-01-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Albania","ALB","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Andorra","AND","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000000","1000000","1000000","1000000","1000000","1000000","1000000","3000000","3000000","27000000","227000000","459000000","436000000","613000000","775000000","808000000","846000000","1166000000","1262000000","1631000000","2515000000","2561000000","2436000000","3489000000","4328000000","","","",
"United Arab Emirates","ARE","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100000000","301000000","","","",
"Argentina","ARG","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","57000000","74000000","57000000","58000000","62000000","57000000","61000000","61000000","93000000","96000000","84000000","109000000","150000000","95000000","116000000","107000000","108000000","121000000","119000000","107000000","100000000","102000000","107000000","120000000","117000000","363000000","461000000","498000000","571000000","708000000","672000000","941000000","1114000000","1247000000","1362000000","1728000000","1688000000","1618000000","1402000000","2220000000","2155000000","2752000000","2955000000","3526000000","","","",
"Armenia","ARM","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3000000","2000000","4000000","7000000","3000000","4000000","4000000","4000000","","","",
"American Samoa","ASM","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","303000000","303000000","295000000","301000000","289000000","296000000","284000000","290000000","282000000","281000000","261000000","263000000","280000000","338000000","429000000","489000000","484000000","429000000","405000000","418000000","385000000","404000000","516000000","431000000","441000000","456000000","460000000","470000000","731000000","810000000","750000000","769000000","670000000","681000000","687000000","746000000","954000000","995000000","1065000000","1195000000","1230000000","1599000000","1997000000","2345000000","2573000000","4794000000","5716000000","6674000000","7817000000","6800000000","8256000000","9718000000","12573000000","14939000000","18622000000","20241000000","","",
"Austria","AUT","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","0","0","0","0","0","0","0","0","0","0","180000000","233000000","211000000","202000000","213000000","218000000","254000000","273000000","302000000","331000000","324000000","500000000","475000000","559000000","805000000","934000000","1278000000","902000000","1047000000","1104000000","1126000000","1206000000","1306000000","1343000000","1188000000","1837000000","1574000000","1714000000","1868000000","1649000000","1599000000","1777000000","1668000000","2098000000","3010000000","3933000000","5150000000","6234000000","6345000000","6281000000","6617000000","6628000000","7405000000","8320000000","8969000000","10186000000","","",
"Azerbaijan","AZE","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2000000","1000000","0","0","69000000","92000000","","","",
"Burundi","BDI","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","0","0","0","0","0","0","0","0","0","0","0","0","0","116000000","108000000","83000000","57000000","247000000","260000000","315000000","300000000","291000000","46000000","22000000","24000000","53000000","119000000","148000000","188000000","198000000","289000000","307000000","276000000","253000000","254000000","330000000","322000000","283000000","370000000","509000000","584000000","634000000","778000000","945000000","1180000000","1818000000","2593000000","3097000000","4008000000","5111000000","6182000000","8181000000","10101000000","11244000000","11895000000","13652000000","","",
"Benin","BEN","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4000000","3000000","3000000","1000000","1000000","1000000","1000000","1000000","1000000","","","",
"Burkina Faso","BFA","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140000000","149000000","","","",
"Bulgaria","BGR","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000000","5000000","20000000","47000000","138000000","248000000","731000000","1018000000","2101000000","2845000000","2783000000","","","",
"Bahrain","BHR","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Bahamas, The","BHS","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Belarus","BLR","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000000","1000000","3000000","15000000","34000000","61000000","85000000","96000000","101000000","128000000","130000000","","","",
"Belize","BLZ","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","8000000","12000000","12000000","12000000","15000000","19000000","19000000","17000000","22000000","32000000","32000000","32000000","29000000","26000000","22000000","24000000","31000000","36000000","33000000","32000000","37000000","41000000","43000000","44000000","45000000","47000000","48000000","50000000","52000000","54000000","54000000","54000000","54000000","54000000","56000000","60000000","72000000","97000000","121000000","119000000","122000000","123000000","60000000","201000000","","","",
"Brazil","BRA","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","618000000","711000000","750000000","785000000","866000000","864000000","1117000000","1332000000","1775000000","1805000000","1873000000","2178000000","2985000000","2852000000","3066000000","3193000000","3565000000","3339000000","3403000000","3859000000","3999000000","4899000000","4954000000","5388000000","5594000000","6754000000","7383000000","7510000000","8368000000","7846000000","9015000000","10280000000","11955000000","12537000000","13684000000","14960000000","18670000000","20654000000","23840000000","33672000000","34939000000","40287000000","46969000000","58202000000","","","",
"Barbados","BRB","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2000000","2000000","2000000","2000000","","","",
"Bhutan","BTN","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000000","1000000","","","",
"Central African Republic","CAF","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","707000000","1069000000","1132000000","1345000000","1300000000","1898000000","2139000000","2085000000","2337000000","1677000000","1865000000","2312000000","2485000000","3477000000","3954000000","3984000000","4526000000","4879000000","5795000000","5703000000","5906000000","6947000000","7380000000","8457000000","8484000000","8946000000","9458000000","9887000000","9764000000","7511000000","8138000000","8567000000","8315000000","11461000000","14742000000","16476000000","16706000000","24599000000","29572000000","35027000000","","",
"Central Europe and the Baltics","CEB","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","10000000","11000000","18000000","14000000","16000000","26000000","38000000","44000000","47000000","84000000","59000000","101000000","185000000","223000000","235000000","211000000","183000000","265000000","262000000","240000000","248000000","269000000","269000000","362000000","372000000","427000000","392000000","216000000","116000000","107000000","83000000","117000000","165000000","281000000","423000000","544000000","490000000","740000000","905000000","993000000","905000000","1297000000","1343000000","1581000000","2868000000","4439000000","5338000000","7175000000","9821000000","13144000000","17652000000","24948000000","32995000000","37275000000","45616000000","","","",
"Switzerland","CHE","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98000000","287000000","173000000","436000000","390000000","396000000","369000000","365000000","458000000","511000000","513000000","529000000","441000000","440000000","485000000","482000000","558000000","580000000","623000000","683000000","707000000","771000000","857000000","899000000","936000000","971000000","1003000000","1054000000","1182000000","1229000000","1289000000","1310000000","1410000000","1628000000","1926000000","2217000000","2634000000","2826000000","","",
"Channel Islands","CHI","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","66000000","57000000","51000000","46000000","51000000","73000000","80000000","91000000","94000000","105000000","110000000","137000000","208000000","201000000","195000000","280000000","271000000","327000000","321000000","963000000","1033000000","1743000000","1750000000","1786000000","1879000000","1738000000","1743000000","1161000000","1010000000","941000000","2075000000","1951000000","1814000000","2038000000","1797000000","1438000000","2705000000","3121000000","4353000000","2579000000","5011000000","5263000000","6323000000","7259000000","7637000000","","",
"China","CHN","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68000000","75000000","130000000","143000000","505000000","3085000000","1640000000","2939000000","2864000000","3031000000","3174000000","3334000000","3467000000","3640000000","3936000000","7434000000","11096000000","15687000000","29818000000","48011000000","70205000000","100573000000","132469000000","193807000000","229877000000","","","",
"Cote d'Ivoire","CIV","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","107000000","110000000","112000000","115000000","118000000","72000000","69000000","64000000","66000000","68000000","70000000","","","",
"Cameroon","CMR","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","643000000","76000000","77000000","71000000","59000000","61000000","64000000","68000000","72000000","","","",
"Congo, Dem. Rep.","COD","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Congo, Rep.","COG","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Colombia","COL","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","0","0","0","0","189000000","202000000","192000000","206000000","216000000","227000000","212000000","231000000","234000000","255000000","267000000","266000000","268000000","274000000","274000000","274000000","269000000","340000000","389000000","444000000","477000000","496000000","483000000","532000000","457000000","496000000","496000000","491000000","495000000","519000000","552000000","593000000","581000000","591000000","599000000","2456000000","2040000000","2008000000","2107000000","2201000000","","","",
"Comoros","COM","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Electricity production from renewable sources, excluding hydroelectric (kWh)","EG.ELC.RNWX.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
