date,birth rate,real family income,GDP,CPI,unemployment rate
1960/1/1,23.7,39871,543.28,29.585,5.6
1961/1/1,23.3,40282,563.308,29.902,6.8
1962/1/1,22.4,41422,605.116,30.253,5.6
1963/1/1,21.7,42868,638.579,30.633,5.7
1964/1/1,21.1,44457,685.784,31.038,5.2
1965/1/1,19.4,46371,743.726,31.528,4.6
1966/1/1,18.4,48820,815.036,32.471,3.8
1967/1/1,17.8,49861,861.73,33.375,3.9
1968/1/1,17.6,52207,942.477,34.792,3.6
1969/1/1,17.9,54615,1019.884,36.683,3.6
1970/1/1,18.4,54446,1075.89,38.842,5
1971/1/1,17.2,54370,1167.766,40.483,6
1972/1/1,15.6,57052,1282.447,41.808,5.7
1973/1/1,14.8,58208,1428.539,44.425,5
1974/1/1,14.8,56653,1548.819,49.317,5.7
1975/1/1,14.6,55665,1688.92,53.825,8.6
1976/1/1,14.6,57391,1877.592,56.933,7.8
1977/1/1,15.1,57777,2085.951,60.617,7.1
1978/1/1,15,59577,2356.569,65.242,6.1
1979/1/1,15.6,60423,2632.139,72.583,5.9
1980/1/1,15.9,58322,2862.508,82.383,7.3
1981/1/1,15.8,56751,3210.947,90.933,7.7
1982/1/1,15.9,56017,3344.993,96.533,9.9
1983/1/1,15.6,56352,3638.136,99.583,9.8
1984/1/1,15.6,58179,4040.69,103.933,7.6
1985/1/1,15.8,59018,4346.744,107.6,7.3
1986/1/1,15.6,61607,4590.153,109.692,7.1
1987/1/1,15.7,62615,4870.217,113.617,6.3
1988/1/1,16,62814,5252.63,118.275,5.6
1989/1/1,16.4,63963,5657.695,123.942,5.3
1990/1/1,16.7,62989,5979.584,130.658,5.7
1991/1/1,16.2,61785,6174.05,136.167,6.9
1992/1/1,15.8,61349,6539.3,140.308,7.6
1993/1/1,15.4,60472,6878.711,144.475,7
1994/1/1,15,62157,7308.756,148.225,6.2
1995/1/1,14.6,63557,7664.061,152.383,5.6
1996/1/1,14.4,64483,8100.201,156.858,5.5
1997/1/1,14.2,66503,8608.519,160.525,5
1998/1/1,14.3,68808,9089.16,163.008,4.6
1999/1/1,14.2,70392,9660.622,166.583,4.3
2000/1/1,14.4,70732,10284.775,172.192,4
2001/1/1,14.1,69689,10621.827,177.042,4.8
2002/1/1,14,68972,10977.522,179.867,5.9
2003/1/1,14.1,68745,11510.674,184,6.1
2004/1/1,14,68692,12274.927,188.908,5.6
2005/1/1,14,69062,13093.722,195.267,5.1
2006/1/1,14.3,69528,13855.892,201.558,4.7
2007/1/1,14.3,71024,14477.636,207.344,4.7
2008/1/1,14,68581,14718.588,215.254,5.8
2009/1/1,13.5,67218,14418.74,214.565,9.4
2010/1/1,13,66310,14964.383,218.076,9.8
2011/1/1,12.7,65051,15517.934,224.923,9.1
2012/1/1,12.6,65064,16155.255,229.586,8.2
2013/1/1,12.4,67461,16691.517,232.949,7.5
2014/1/1,12.5,67552,17427.609,236.704,6.3
2015/1/1,12.4,71590,18120.714,236.987,5.4
