Date,CNYUSD,RMB_REER,CHN PMI,USA PMI,CHN M1,USA M1,CHN M2,USA M2,CHN CPI inflation,USA CPI inflation,CHN_IBR,US_FFR
2005-07,8.1062 ,85.01 ,51.10 ,52.80 ,"97,700.00 ","1,365.00 ","277,000.00 ","6,498.40 ",1.80 ,3.20 ,1.1395 ,3.36 
2005-08,8.0998 ,85.05 ,52.60 ,52.40 ,"99,400.00 ","1,376.50 ","281,300.00 ","6,522.50 ",1.30 ,3.60 ,1.1774 ,3.30 
2005-09,8.0920 ,85.29 ,55.10 ,56.80 ,"101,000.00 ","1,363.10 ","287,000.00 ","6,555.00 ",0.90 ,4.70 ,1.1675 ,3.57 
2005-10,8.0845 ,86.39 ,54.10 ,57.20 ,"101,800.00 ","1,365.10 ","287,600.00 ","6,582.30 ",1.20 ,4.30 ,1.2442 ,3.73 
2005-11,8.0804 ,87.75 ,54.10 ,56.70 ,"104,100.00 ","1,373.20 ","292,400.00 ","6,623.00 ",1.30 ,3.50 ,1.2049 ,3.99 
2005-12,8.0702 ,87.59 ,54.30 ,55.10 ,"107,300.00 ","1,396.90 ","298,800.00 ","6,676.30 ",1.60 ,3.40 ,1.4696 ,4.03 
2006-01,8.0608 ,86.88 ,52.10 ,55.00 ,"107,400.00 ","1,375.20 ","303,500.00 ","6,674.40 ",1.90 ,4.00 ,1.4242 ,4.22 
2006-02,8.0415 ,88.13 ,52.10 ,55.80 ,"104,400.00 ","1,361.70 ","304,500.00 ","6,691.80 ",0.90 ,3.60 ,1.3620 ,4.51 
2006-03,8.0170 ,86.90 ,55.30 ,54.30 ,"107,000.00 ","1,394.40 ","310,500.00 ","6,764.30 ",0.80 ,3.40 ,1.3454 ,4.52 
2006-04,8.0165 ,85.98 ,58.10 ,55.20 ,"106,400.00 ","1,393.30 ","313,700.00 ","6,827.60 ",1.20 ,3.50 ,1.5297 ,4.87 
2006-05,8.0188 ,83.76 ,54.80 ,53.70 ,"109,200.00 ","1,391.80 ","316,700.00 ","6,766.00 ",1.40 ,4.20 ,1.7699 ,4.88 
2006-06,7.9956 ,84.45 ,54.10 ,52.00 ,"112,300.00 ","1,378.70 ","322,800.00 ","6,819.10 ",1.50 ,4.30 ,1.5200 ,5.02 
2006-07,7.9732 ,84.22 ,52.40 ,53.00 ,"112,700.00 ","1,368.20 ","324,000.00 ","6,840.50 ",1.00 ,4.10 ,1.7696 ,5.25 
2006-08,7.9585 ,84.12 ,53.10 ,53.70 ,"114,800.00 ","1,370.20 ","327,900.00 ","6,858.90 ",1.30 ,3.80 ,2.4902 ,5.27 
2006-09,7.9087 ,85.45 ,57.00 ,52.20 ,"116,800.00 ","1,347.00 ","331,900.00 ","6,886.10 ",1.50 ,2.10 ,2.1012 ,5.25 
2006-10,7.8792 ,86.23 ,54.70 ,51.40 ,"118,400.00 ","1,359.90 ","332,700.00 ","6,928.90 ",1.40 ,1.30 ,2.1451 ,5.22 
2006-11,7.8436 ,86.22 ,55.30 ,50.30 ,"121,600.00 ","1,368.10 ","337,500.00 ","6,991.20 ",1.90 ,2.00 ,2.2730 ,5.23 
2006-12,7.8087 ,86.53 ,54.80 ,51.40 ,"126,000.00 ","1,387.30 ","345,600.00 ","7,066.20 ",2.80 ,2.50 ,2.2874 ,5.27 
2007-01,7.7776 ,88.38 ,55.10 ,49.50 ,"129,000.00 ","1,368.60 ","352,000.00 ","7,064.10 ",2.20 ,2.10 ,1.4952 ,5.24 
2007-02,7.7409 ,89.59 ,53.10 ,51.90 ,"126,000.00 ","1,347.00 ","359,000.00 ","7,075.70 ",2.70 ,2.40 ,1.7918 ,5.29 
2007-03,7.7342 ,88.16 ,56.10 ,50.70 ,"127,900.00 ","1,377.90 ","364,100.00 ","7,172.90 ",3.30 ,2.80 ,1.6148 ,5.31 
2007-04,7.7055 ,87.07 ,58.60 ,52.60 ,"128,000.00 ","1,391.80 ","367,000.00 ","7,262.50 ",3.00 ,2.60 ,1.8054 ,5.25 
2007-05,7.6506 ,87.66 ,55.70 ,52.50 ,"130,300.00 ","1,385.10 ","369,700.00 ","7,207.70 ",3.40 ,2.70 ,1.6372 ,5.21 
2007-06,7.6155 ,88.62 ,54.50 ,52.60 ,"135,800.00 ","1,370.20 ","377,800.00 ","7,251.70 ",4.40 ,2.70 ,1.9852 ,5.23 
2007-07,7.5737 ,88.94 ,53.30 ,52.40 ,"136,200.00 ","1,368.10 ","383,900.00 ","7,254.40 ",5.60 ,2.40 ,1.7873 ,5.31 
2007-08,7.5607 ,89.88 ,54.00 ,50.90 ,"141,000.00 ","1,372.30 ","387,200.00 ","7,314.00 ",6.50 ,2.00 ,2.0259 ,5.30 
2007-09,7.5108 ,89.64 ,56.10 ,51.00 ,"142,600.00 ","1,355.80 ","393,100.00 ","7,334.40 ",6.20 ,2.80 ,1.8289 ,4.96 
2007-10,7.4692 ,88.38 ,53.20 ,51.10 ,"144,600.00 ","1,368.90 ","394,200.00 ","7,345.00 ",6.50 ,3.50 ,1.9683 ,4.77 
2007-11,7.3997 ,88.48 ,55.40 ,50.50 ,"148,000.00 ","1,370.00 ","399,800.00 ","7,403.50 ",6.90 ,4.30 ,2.9292 ,4.59 
2007-12,7.3046 ,90.20 ,55.30 ,49.00 ,"152,500.00 ","1,394.40 ","403,400.00 ","7,471.30 ",6.50 ,4.10 ,1.8510 ,4.52 
2008-01,7.1853 ,91.92 ,53.00 ,50.30 ,"154,900.00 ","1,375.40 ","417,800.00 ","7,469.30 ",7.10 ,4.30 ,2.5926 ,4.11 
2008-02,7.1058 ,94.73 ,53.40 ,47.60 ,"150,200.00 ","1,365.40 ","421,000.00 ","7,551.30 ",8.70 ,4.00 ,1.9975 ,3.12 
2008-03,7.0190 ,92.30 ,58.40 ,48.30 ,"150,900.00 ","1,400.50 ","423,100.00 ","7,685.50 ",8.30 ,4.00 ,2.4462 ,3.10 
2008-04,7.0002 ,92.75 ,59.20 ,48.80 ,"151,700.00 ","1,406.00 ","429,200.00 ","7,734.40 ",8.50 ,3.90 ,2.5561 ,2.38 
2008-05,6.9472 ,93.08 ,53.30 ,48.80 ,"153,300.00 ","1,396.00 ","436,200.00 ","7,676.30 ",7.70 ,4.20 ,2.1915 ,1.88 
2008-06,6.8591 ,93.56 ,52.00 ,49.80 ,"154,800.00 ","1,406.70 ","443,100.00 ","7,698.80 ",7.10 ,5.00 ,2.8571 ,2.06 
2008-07,6.8388 ,93.52 ,48.40 ,50.00 ,"155,000.00 ","1,417.20 ","446,400.00 ","7,711.60 ",6.30 ,5.60 ,2.5059 ,2.11 
2008-08,6.8345 ,95.67 ,48.40 ,49.20 ,"157,000.00 ","1,400.80 ","449,000.00 ","7,709.50 ",4.90 ,5.40 ,2.7759 ,2.04 
2008-09,6.8183 ,98.30 ,51.20 ,44.80 ,"155,700.00 ","1,441.00 ","452,900.00 ","7,782.90 ",4.60 ,4.90 ,2.6330 ,1.94 
2008-10,6.8258 ,102.56 ,44.60 ,38.90 ,"157,200.00 ","1,462.10 ","453,100.00 ","7,890.80 ",4.00 ,3.70 ,3.1903 ,1.96 
2008-11,6.8349 ,105.24 ,38.80 ,36.50 ,"157,800.00 ","1,513.20 ","458,600.00 ","7,980.60 ",2.40 ,1.10 ,2.2927 ,0.23 
2008-12,6.8346 ,102.81 ,41.20 ,33.10 ,"166,200.00 ","1,631.80 ","475,200.00 ","8,199.30 ",1.20 ,0.10 ,1.4972 ,0.52 
2009-01,6.8380 ,104.79 ,45.30 ,34.90 ,"165,200.00 ","1,580.20 ","496,100.00 ","8,243.80 ",1.00 ,0.00 ,0.9159 ,0.08 
2009-02,6.8379 ,107.57 ,49.00 ,35.50 ,"166,500.00 ","1,551.50 ","507,100.00 ","8,272.30 ",-1.60 ,0.20 ,0.9481 ,0.23 
2009-03,6.8359 ,107.34 ,52.40 ,36.00 ,"176,500.00 ","1,594.30 ","530,600.00 ","8,407.40 ",-1.20 ,-0.40 ,0.8119 ,0.22 
2009-04,6.8250 ,104.84 ,53.50 ,39.50 ,"178,200.00 ","1,627.10 ","540,500.00 ","8,407.50 ",-1.50 ,-0.70 ,0.8090 ,0.16 
2009-05,6.8324 ,101.47 ,53.10 ,41.70 ,"182,000.00 ","1,617.30 ","548,200.00 ","8,394.80 ",-1.40 ,-1.30 ,0.8159 ,0.22 
2009-06,6.8319 ,99.49 ,53.20 ,45.80 ,"193,200.00 ","1,661.10 ","568,900.00 ","8,407.50 ",-1.70 ,-1.40 ,0.8181 ,0.21 
2009-07,6.8323 ,99.09 ,53.30 ,49.90 ,"195,900.00 ","1,657.00 ","573,000.00 ","8,374.00 ",-1.80 ,-2.10 ,1.1056 ,0.20 
2009-08,6.8312 ,98.30 ,54.00 ,53.50 ,"200,400.00 ","1,650.70 ","576,700.00 ","8,353.20 ",-1.20 ,-1.50 ,1.3300 ,0.18 
2009-09,6.8290 ,97.37 ,54.30 ,54.40 ,"201,700.00 ","1,640.40 ","585,400.00 ","8,361.50 ",-0.80 ,-1.30 ,1.0043 ,0.15 
2009-10,6.8281 ,95.83 ,55.20 ,56.00 ,"207,500.00 ","1,663.60 ","586,200.00 ","8,393.40 ",-0.50 ,-0.20 ,1.6996 ,0.12 
2009-11,6.8272 ,95.61 ,55.20 ,54.40 ,"212,500.00 ","1,682.50 ","594,600.00 ","8,468.80 ",0.60 ,1.80 ,1.1397 ,0.12 
2009-12,6.8282 ,97.15 ,56.60 ,55.30 ,"220,000.00 ","1,723.70 ","606,200.00 ","8,511.20 ",1.90 ,2.70 ,1.2573 ,0.13 
2010-01,6.8270 ,97.95 ,55.80 ,57.20 ,"229,600.00 ","1,673.50 ","625,100.00 ","8,431.80 ",1.50 ,2.60 ,1.1228 ,0.12 
2010-02,6.8269 ,100.46 ,52.00 ,55.80 ,"224,300.00 ","1,684.60 ","636,000.00 ","8,475.90 ",2.70 ,2.10 ,1.3620 ,0.14 
2010-03,6.8263 ,99.01 ,55.10 ,58.80 ,"229,400.00 ","1,728.90 ","650,000.00 ","8,543.60 ",2.40 ,2.30 ,1.4354 ,0.14 
2010-04,6.8263 ,98.92 ,55.70 ,58.10 ,"233,900.00 ","1,715.30 ","656,600.00 ","8,568.50 ",2.80 ,2.20 ,1.3116 ,0.17 
2010-05,6.8280 ,101.43 ,53.90 ,58.30 ,"236,500.00 ","1,707.50 ","663,400.00 ","8,550.90 ",3.10 ,2.00 ,1.4042 ,0.21 
2010-06,6.7909 ,101.91 ,52.10 ,56.40 ,"240,600.00 ","1,731.70 ","673,900.00 ","8,572.90 ",2.90 ,1.10 ,2.7527 ,0.20 
2010-07,6.7750 ,100.80 ,51.20 ,56.40 ,"240,700.00 ","1,717.70 ","674,100.00 ","8,543.30 ",3.30 ,1.20 ,2.2549 ,0.17 
2010-08,6.8105 ,99.77 ,51.70 ,58.00 ,"244,300.00 ","1,738.90 ","687,500.00 ","8,574.20 ",3.50 ,1.10 ,1.4797 ,0.19 
2010-09,6.7011 ,99.76 ,53.80 ,56.30 ,"243,800.00 ","1,740.70 ","696,400.00 ","8,616.10 ",3.60 ,1.10 ,2.5373 ,0.19 
2010-10,6.6908 ,98.30 ,54.70 ,57.70 ,"253,300.00 ","1,766.70 ","699,800.00 ","8,676.90 ",4.40 ,1.20 ,1.7351 ,0.18 
2010-11,6.6762 ,100.20 ,55.20 ,57.60 ,"259,400.00 ","1,828.00 ","710,300.00 ","8,742.50 ",5.10 ,1.10 ,1.5929 ,0.20 
2010-12,6.6227 ,101.47 ,53.90 ,57.50 ,"266,600.00 ","1,870.60 ","725,800.00 ","8,824.70 ",4.60 ,1.50 ,2.2374 ,0.20 
2011-01,6.5891 ,101.81 ,52.90 ,59.00 ,"263,100.00 ","1,854.80 ","735,600.00 ","8,817.30 ",4.90 ,1.60 ,2.8474 ,0.18 
2011-02,6.5752 ,102.34 ,52.20 ,59.30 ,"259,100.00 ","1,857.90 ","736,100.00 ","8,854.90 ",4.94 ,2.10 ,3.3197 ,0.18 
2011-03,6.5564 ,100.75 ,53.40 ,59.10 ,"266,300.00 ","1,908.70 ","758,100.00 ","8,968.40 ",5.38 ,2.70 ,2.1927 ,0.15 
2011-04,6.4990 ,99.58 ,52.90 ,58.90 ,"266,800.00 ","1,917.20 ","757,300.00 ","9,023.70 ",5.34 ,3.20 ,1.7973 ,0.11 
2011-05,6.4845 ,99.76 ,52.00 ,53.70 ,"269,300.00 ","1,933.40 ","763,400.00 ","8,994.20 ",5.52 ,3.60 ,2.5506 ,0.09 
2011-06,6.4716 ,100.07 ,50.90 ,56.60 ,"274,700.00 ","1,953.40 ","780,800.00 ","9,082.90 ",6.36 ,3.60 ,3.1500 ,0.10 
2011-07,6.4442 ,100.39 ,50.70 ,52.90 ,"270,600.00 ","1,993.70 ","772,900.00 ","9,235.40 ",6.45 ,3.60 ,4.7532 ,0.08 
2011-08,6.3867 ,101.21 ,50.90 ,53.00 ,"273,300.00 ","2,101.10 ","780,700.00 ","9,430.30 ",6.15 ,3.80 ,3.0330 ,0.17 
2011-09,6.3549 ,104.45 ,51.20 ,52.80 ,"267,200.00 ","2,098.40 ","787,400.00 ","9,469.10 ",6.07 ,3.90 ,3.4387 ,0.08 
2011-10,6.3233 ,105.73 ,50.40 ,51.80 ,"276,600.00 ","2,127.40 ","816,800.00 ","9,519.10 ",5.50 ,3.50 ,4.8653 ,0.07 
2011-11,6.3482 ,106.41 ,49.00 ,52.10 ,"281,400.00 ","2,163.60 ","825,500.00 ","9,602.30 ",4.23 ,3.40 ,3.3069 ,0.08 
2011-12,6.3009 ,108.04 ,50.30 ,53.10 ,"289,800.00 ","2,207.40 ","851,600.00 ","9,698.60 ",4.07 ,3.00 ,2.9842 ,0.08 
2012-01,6.3115 ,109.56 ,50.50 ,52.80 ,"269,900.00 ","2,208.70 ","855,800.00 ","9,750.50 ",4.50 ,2.90 ,3.5069 ,0.07 
2012-02,6.2919 ,108.07 ,51.00 ,52.40 ,"270,300.00 ","2,194.00 ","867,200.00 ","9,775.50 ",3.20 ,2.90 ,2.9847 ,0.11 
2012-03,6.2943 ,108.30 ,53.10 ,53.00 ,"278,000.00 ","2,245.50 ","895,600.00 ","9,891.80 ",3.60 ,2.70 ,2.5243 ,0.11 
2012-04,6.2787 ,108.15 ,53.30 ,53.70 ,"275,000.00 ","2,268.20 ","889,600.00 ","9,937.60 ",3.40 ,2.30 ,2.6425 ,0.09 
2012-05,6.3355 ,109.06 ,50.40 ,53.20 ,"278,600.00 ","2,248.00 ","900,000.00 ","9,871.60 ",3.00 ,1.70 ,2.8522 ,0.15 
2012-06,6.3249 ,108.89 ,50.20 ,51.00 ,"287,500.00 ","2,270.60 ","925,000.00 ","9,949.60 ",2.20 ,1.70 ,1.9194 ,0.16 
2012-07,6.3320 ,108.80 ,50.10 ,50.60 ,"283,100.00 ","2,314.10 ","919,100.00 ","9,994.70 ",1.80 ,1.40 ,3.6235 ,0.18 
2012-08,6.3449 ,108.36 ,49.20 ,51.10 ,"285,700.00 ","2,334.20 ","924,900.00 ","10,057.70 ",2.00 ,1.70 ,2.6327 ,0.14 
2012-09,6.3410 ,107.50 ,49.80 ,52.20 ,"286,800.00 ","2,357.50 ","943,700.00 ","10,153.90 ",1.90 ,2.00 ,2.0687 ,0.13 
2012-10,6.3002 ,107.75 ,50.20 ,51.20 ,"293,300.00 ","2,415.70 ","936,400.00 ","10,234.70 ",1.70 ,2.20 ,3.7337 ,0.15 
2012-11,6.2892 ,109.62 ,50.60 ,49.50 ,"296,900.00 ","2,414.70 ","944,800.00 ","10,331.80 ",2.00 ,1.80 ,3.0556 ,0.17 
2012-12,6.2855 ,109.93 ,50.60 ,50.40 ,"308,700.00 ","2,509.30 ","974,200.00 ","10,520.00 ",2.50 ,1.70 ,2.2724 ,0.16 
2013-01,6.2795 ,111.45 ,50.40 ,52.30 ,"311,300.00 ","2,480.80 ","992,100.00 ","10,495.10 ",2.03 ,1.60 ,2.5728 ,0.16 
2013-02,6.2779 ,113.34 ,50.10 ,53.10 ,"296,100.00 ","2,455.20 ","998,600.00 ","10,468.10 ",3.22 ,2.00 ,2.6941 ,0.14 
2013-03,6.2689 ,113.70 ,50.90 ,51.50 ,"311,200.00 ","2,496.70 ","1,036,100.00 ","10,614.80 ",2.07 ,1.50 ,4.1403 ,0.14 
2013-04,6.2208 ,114.79 ,50.60 ,50.00 ,"307,600.00 ","2,541.80 ","1,032,600.00 ","10,643.60 ",2.39 ,1.10 ,2.0217 ,0.16 
2013-05,6.1796 ,115.75 ,50.80 ,50.00 ,"310,200.00 ","2,518.00 ","1,042,100.00 ","10,566.40 ",2.10 ,1.40 ,2.8085 ,0.15 
2013-06,6.1787 ,115.79 ,50.10 ,52.50 ,"313,600.00 ","2,523.00 ","1,054,500.00 ","10,631.10 ",2.67 ,1.80 ,4.6239 ,0.10 
2013-07,6.1788 ,116.76 ,50.30 ,54.90 ,"310,600.00 ","2,543.20 ","1,052,400.00 ","10,670.20 ",2.67 ,2.00 ,4.4656 ,0.10 
2013-08,6.1709 ,116.82 ,51.00 ,56.30 ,"314,100.00 ","2,536.90 ","1,061,200.00 ","10,725.60 ",2.57 ,1.50 ,3.5708 ,0.08 
2013-09,6.1480 ,117.14 ,51.10 ,56.00 ,"312,300.00 ","2,555.20 ","1,077,400.00 ","10,793.40 ",3.05 ,1.20 ,3.0359 ,0.07 
2013-10,6.1425 ,115.87 ,51.40 ,56.60 ,"319,400.00 ","2,617.50 ","1,070,200.00 ","10,920.20 ",3.21 ,1.00 ,3.1099 ,0.08 
2013-11,6.1325 ,117.27 ,51.40 ,57.00 ,"324,800.00 ","2,606.30 ","1,079,300.00 ","10,964.40 ",3.02 ,1.20 ,4.2961 ,0.08 
2013-12,6.0969 ,118.30 ,51.00 ,56.50 ,"337,300.00 ","2,714.90 ","1,106,500.00 ","11,091.80 ",2.50 ,1.50 ,3.7822 ,0.09 
2014-01,6.1050 ,120.61 ,50.50 ,51.30 ,"314,900.00 ","2,701.00 ","1,123,500.00 ","11,089.10 ",2.49 ,1.60 ,3.1311 ,0.08 
2014-02,6.1214 ,120.49 ,50.20 ,53.20 ,"316,600.00 ","2,705.50 ","1,131,800.00 ","11,140.70 ",1.95 ,1.10 ,4.3026 ,0.06 
2014-03,6.1521 ,116.92 ,50.30 ,53.70 ,"327,700.00 ","2,772.50 ","1,160,700.00 ","11,266.10 ",2.38 ,1.50 ,2.1216 ,0.07 
2014-04,6.1580 ,114.28 ,50.40 ,54.90 ,"324,500.00 ","2,809.00 ","1,168,800.00 ","11,319.50 ",1.80 ,2.00 ,2.8975 ,0.08 
2014-05,6.1695 ,113.61 ,50.80 ,55.40 ,"327,800.00 ","2,781.70 ","1,182,300.00 ","11,262.80 ",2.48 ,2.10 ,2.4041 ,0.09 
2014-06,6.1528 ,113.61 ,51.00 ,55.30 ,"341,500.00 ","2,824.20 ","1,209,600.00 ","11,324.70 ",2.34 ,2.10 ,2.5592 ,0.10 
2014-07,6.1675 ,114.25 ,51.70 ,57.10 ,"331,300.00 ","2,840.70 ","1,194,200.00 ","11,379.80 ",2.29 ,2.00 ,3.0366 ,0.10 
2014-08,6.1647 ,116.23 ,51.10 ,59.00 ,"332,000.00 ","2,789.60 ","1,197,500.00 ","11,410.90 ",1.99 ,1.70 ,3.2458 ,0.09 
2014-09,6.1525 ,119.11 ,51.10 ,56.60 ,"327,200.00 ","2,834.00 ","1,202,100.00 ","11,459.00 ",1.63 ,1.70 ,2.8999 ,0.07 
2014-10,6.1461 ,121.03 ,50.80 ,59.00 ,"329,600.00 ","2,864.40 ","1,199,200.00 ","11,526.80 ",1.60 ,1.70 ,2.5841 ,0.09 
2014-11,6.1345 ,123.94 ,50.30 ,58.70 ,"335,100.00 ","2,860.60 ","1,208,600.00 ","11,602.70 ",1.44 ,1.30 ,2.5850 ,0.09 
2014-12,6.1190 ,125.54 ,50.10 ,55.10 ,"348,100.00 ","2,991.40 ","1,228,400.00 ","11,747.80 ",1.51 ,0.80 ,2.7195 ,0.13 
2015-01,6.1370 ,127.65 ,49.80 ,53.50 ,"348,100.00 ","2,940.50 ","1,242,700.00 ","11,746.90 ",0.76 ,-0.10 ,3.6300 ,0.12 
2015-02,6.1475 ,129.60 ,49.90 ,52.90 ,"334,400.00 ","2,979.10 ","1,257,400.00 ","11,835.00 ",1.43 ,0.00 ,2.9320 ,0.12 
2015-03,6.1422 ,130.67 ,50.10 ,51.50 ,"337,200.00 ","3,023.30 ","1,275,300.00 ","11,944.90 ",1.38 ,-0.10 ,3.5041 ,0.12 
2015-04,6.1137 ,129.78 ,50.10 ,51.50 ,"336,400.00 ","3,034.80 ","1,280,800.00 ","11,992.80 ",1.51 ,-0.20 ,3.0866 ,0.12 
2015-05,6.1196 ,128.14 ,50.20 ,52.80 ,"343,100.00 ","2,975.30 ","1,307,400.00 ","11,896.20 ",1.23 ,0.00 ,1.6541 ,0.13 
2015-06,6.1136 ,129.01 ,50.20 ,53.50 ,"356,100.00 ","3,020.10 ","1,333,400.00 ","11,950.80 ",1.39 ,0.10 ,1.0665 ,0.12 
2015-07,6.1172 ,131.03 ,50.00 ,52.70 ,"353,100.00 ","3,037.80 ","1,353,200.00 ","12,001.40 ",1.65 ,0.20 ,1.1815 ,0.13 
2015-08,6.3893 ,130.41 ,49.70 ,51.10 ,"362,800.00 ","3,021.70 ","1,356,900.00 ","12,058.90 ",1.96 ,0.20 ,1.5229 ,0.14 
2015-09,6.3613 ,130.22 ,49.80 ,50.20 ,"364,400.00 ","3,015.70 ","1,359,800.00 ","12,126.50 ",1.60 ,0.00 ,1.8471 ,0.14 
2015-10,6.3495 ,129.03 ,49.80 ,50.10 ,"375,800.00 ","3,011.30 ","1,361,000.00 ","12,160.00 ",1.27 ,0.20 ,1.9255 ,0.13 
2015-11,6.3962 ,131.02 ,49.60 ,48.60 ,"387,600.00 ","3,055.60 ","1,374,000.00 ","12,286.30 ",1.49 ,0.50 ,1.8278 ,0.12 
2015-12,6.4936 ,130.33 ,49.70 ,48.00 ,"401,000.00 ","3,140.40 ","1,392,300.00 ","12,416.10 ",1.60 ,0.70 ,1.8134 ,0.13 
2016-01,6.5516 ,129.75 ,49.40 ,48.20 ,"412,700.00 ","3,093.70 ","1,416,300.00 ","12,467.60 ",1.80 ,1.40 ,2.0632 ,0.36 
2016-02,6.5452 ,130.84 ,49.00 ,49.50 ,"392,500.00 ","3,096.80 ","1,424,600.00 ","12,507.00 ",2.30 ,1.00 ,2.0443 ,0.38 
2016-03,6.4612 ,128.61 ,50.20 ,51.80 ,"411,600.00 ","3,180.60 ","1,446,200.00 ","12,675.40 ",2.30 ,0.90 ,2.0255 ,0.36 
2016-04,6.4589 ,126.19 ,50.10 ,50.80 ,"413,500.00 ","3,235.80 ","1,445,200.00 ","12,769.60 ",2.33 ,1.10 ,2.0641 ,0.37 
2016-05,6.5790 ,125.14 ,50.10 ,51.30 ,"424,300.00 ","3,236.70 ","1,461,700.00 ","12,700.10 ",2.04 ,1.00 ,2.0441 ,0.37 
2016-06,6.6312 ,123.03 ,50.00 ,53.20 ,"443,600.00 ","3,249.50 ","1,490,500.00 ","12,781.20 ",1.88 ,1.00 ,2.0750 ,0.37 
2016-07,6.6511 ,121.78 ,49.90 ,52.60 ,"442,900.00 ","3,247.80 ","1,491,600.00 ","12,843.20 ",1.77 ,0.80 ,2.1140 ,0.41 
2016-08,6.6908 ,120.76 ,50.40 ,49.40 ,"454,500.00 ","3,322.30 ","1,511,000.00 ","12,941.20 ",1.34 ,1.10 ,2.0823 ,0.40 
2016-09,6.6778 ,121.16 ,50.40 ,51.50 ,"454,300.00 ","3,300.20 ","1,516,400.00 ","13,012.30 ",1.92 ,1.50 ,2.1118 ,0.40 
2016-10,6.7641 ,120.90 ,51.20 ,51.90 ,"465,400.00 ","3,329.70 ","1,519,500.00 ","13,075.40 ",2.10 ,1.60 ,2.2168 ,0.40 
2016-11,6.8865 ,121.60 ,51.70 ,53.20 ,"475,400.00 ","3,325.90 ","1,530,400.00 ","13,183.60 ",2.25 ,1.70 ,2.2931 ,0.41 
2016-12,6.9370 ,122.84 ,51.40 ,54.50 ,"486,600.00 ","3,381.30 ","1,550,100.00 ","13,292.00 ",2.08 ,2.10 ,2.3617 ,0.41 
2017-01,6.8588 ,123.29 ,51.30 ,56.00 ,"472,500.00 ","3,378.80 ","1,575,900.00 ","13,274.10 ",2.55 ,2.50 ,2.2462 ,0.66 
2017-02,6.8750 ,122.08 ,51.60 ,57.70 ,"476,500.00 ","3,337.60 ","1,582,900.00 ","13,287.30 ",0.80 ,2.70 ,2.2233 ,0.66 
